;2000_No specify fault
;2001_Mechanical Failures
;2002_Electrical/Electronic Failures
;2003_Pneumatic/Hydraulic Failures
;2004_Software/Control System Errors
;2005_Machine Setup and Operation Errors
;2006_Material and Infeed Problems
;2007_Robot specific problem
;2008_Glue machine problem
DB100,X0.0;1_Emergency Stop Fault
DB100,X0.1;2_Air Pressure Low
DB100,X0.2;3_Bottom Tool Locker signal is missing when not in ToolChange Mode
DB100,X0.3;4_Bottom Tool Missing when not in ToolChange Mode
DB100,X0.4;5_Top Tool Missing when not in ToolChange Mode
DB100,X0.5;6_Support Pillar is not Installed
DB100,X0.6;7_Locker lose while not in toolchange mode
DB100,X0.7;8_MoldNumber Miss Match
DB100,X1.0;9_SEW FC Fault
DB100,X1.1;10_Braking Resistor Overtemperature
DB100,X1.2;11_FixCylinder is not Fwd when not in ToolChange Mode
DB100,X1.3;12_Sew UP Limit Active
DB100,X1.4;13_Remote Tool Communication Fault
DB100,X1.5;14_WaterCoolMachine is OFF
DB100,X1.6;15_ReadyHeatingNotReached
DB100,X1.7;16_Tempature too hot must be checked
DB100,X2.0;17_SEW Not Ready
DB100,X2.1;18_MainLightCurtain Not Ready
DB100,X2.2;19_Down Mould lock Valve Feedback Fault
DB100,X2.3;20_Down Mould lock Valve No Fault
DB100,X2.4;21_Down Mould lock Valve Forward Overtime
DB100,X2.5;22_Down Mould lock Valve Backward Overtime
DB100,X2.6;23_Top Table Brake Valve Feedback Fault
DB100,X2.7;24_Reserve 3
DB100,X3.0;25_Top Table Brake Valve Forward Overtime
DB100,X3.1;26_Top Table Brake Valve Backward Overtime
DB100,X3.2;27_Main Locker Feedback Fault
DB100,X3.3;28_Main Locker No Feedback
DB100,X3.4;29_Main Locker Forward Overtime
DB100,X3.5;30_Main Locker Backward Overtime
DB100,X3.6;31_Anti Drop Cylinder  Feedback Fault
DB100,X3.7;32_Anti Drop Cylinder No Feedback
DB100,X4.0;33_Anti Drop Cylinder Forward Overtime
DB100,X4.1;34_Anti Drop Cylinder Backward Overtime
DB100,X4.2;35_ToolConnectionCylinder Feedback Fault
DB100,X4.3;36_ToolConnectionCylinder No Feedback
DB100,X4.4;37_ToolConnectionCylinder Forward Overtime
DB100,X4.5;38_ToolConnectionCylinder Backward Overtime
DB100,X4.6;39_Spare8
DB100,X4.7;40_Emergency Need Reset
DB100,X5.0;41_MatainDoor Need Reset
DB100,X5.1;42_MainLightCurtain Need Reset
DB100,X5.2;43_Conveyer Light Need Reset
DB100,X5.3;44_Rollor Door Close Pos1 fault
DB100,X5.4;45_Rollor Door Close Pos2 fault
DB100,X5.5;46_Rollor Door Open fault
DB100,X5.6;47_Rollor Door Status Error
DB100,X5.7;48_Reserve
DB100,X6.0;49_Reserve
DB100,X6.1;50_Robot E-Stoped
DB100,X6.2;51_Robot A-Stoped
DB100,X6.3;52_Robot not in AutoMode
DB100,X6.4;53_Robot not Running
DB100,X6.5;54_Robot Error
DB100,X6.6;55_Robot LostPart
DB100,X6.7;56_Robot VacuumLow
DB100,X7.0;58_Robot Status Not Ok
DB100,X7.1;57_Robot Gripper is not Match the Conveyer Mould and PressTool
DB100,X7.2;59_The LowerTool do not sens the product
DB100,X7.3;60_UpTool Cliper do not release
DB100,X7.4;61_UpTool Vacuum do not release
DB100,X7.5;62_UpTool do not in home position
DB100,X7.6;63_LowerTool do not in home position
DB100,X7.7;64_UpTool Take Product up Failure
DB100,X8.0;65_Robot Not IN HomePOS
DB100,X8.1;66_Reserve
DB100,X8.2;67_LowerToolLiftCylinder Feedback Fault
DB100,X8.3;68_LowerToolLiftCylinder No Feedback
DB100,X8.4;69_LowerToolLiftCylinder Forward Overtime
DB100,X8.5;70_LowerToolLiftCylinder Backward Overtime
DB100,X8.6;71_Glue Machine Control Power is not On
DB100,X8.7;72_Glue Machine is not Ready
DB100,X9.0;73_Glue Machine Error
DB100,X9.1;74_Glue Machine not in auto
DB100,X9.2;75_Glue Machine have warning
DB100,X9.3;76_Glue Machine temperature is not reach
DB100,X9.4;77_Glue Machine CompressAir is not Ok
DB100,X9.5;78_Glue Machine Estop Button is not Ok
DB100,X9.6;79_Tool Not Homed
DB100,X9.7;80_Machine Not Homed
DB100,X10.0;81_Down Mould do not sens Product
DB100,X10.1;82_Down Mould Vaccum Not Ok
DB100,X10.2;83_Down Mould do not sens Product after UpDown slider Backward
DB100,X10.3;84_Down Mould Product Sensor Status Error
DB100,X10.4;85_Down Mould Already have a Product
DB100,X10.5;86_Robot Put Product at TransBelt Failure
DB100,X10.6;87_LowerTool Cliper do not Closed
DB100,X10.7;88_LowerTool do not ready for start
DB100,X11.0;89_Main Cycle Sequence is paused
DB100,X11.1;90_Main Cycle Sequence is Stoped
DB100,X11.2;91_Main Cycle Sequence is In StepMode
DB100,X11.3;92_Machine is In Auto Heating Test Mode
DB100,X11.4;93_Machine is In  Sim AutoMode
DB100,X11.5;94_Machine is in PressMachine Mode
DB100,X11.6;95_Oil Pump1 Feedback Nok
DB100,X11.7;96_Oil Pump2 Feedback Nok
DB100,X12.0;97_Oil Pump3 Feedback Nok
DB100,X12.1;98_Oil Pump4 Feedback Nok
DB100,X12.2;99_Robot Gripper Product Sensor Status Error
DB100,X12.3;100_PlugConnectionCylinder1 Feedback Fault
DB100,X12.4;101_PlugConnectionCylinder1 No Feedback
DB100,X12.5;102_PlugConnectionCylinder1 Forward Overtime
DB100,X12.6;103_PlugConnectionCylinder1 Backward Overtime
DB100,X12.7;104_ConveyerLocker Feedback Fault
DB100,X13.0;105_ConveyerLocker No Feedback
DB100,X13.1;106_ConveyerLocker Forward Overtime
DB100,X13.2;107_ConveyerLocker Backward Overtime
DB100,X13.3;108_Glue is Empty Please Change a New GlueBag
DB100,X13.4;109_Positioning tooling no homeposition
DB100,X13.5;110_Alignment Tool not at homepostion
DB100,X13.6;111_The top vacuum is released that failed
DB100,X13.7;112_Top Vacuum is failed
DB100,X14.0;113_ChangeTool_CheckPostion is Failed
DB100,X14.1;114_Step 1 Timeout, please check the step sequence conditions
DB100,X14.2;115_Step 2 Timeout, please check the step sequence conditions
DB100,X14.3;116_Step 3 Timeout, please check the step sequence conditions
DB100,X14.4;117_Step 4 Timeout, please check the step sequence conditions
DB100,X14.5;118_Step 5 Timeout, please check the step sequence conditions
DB100,X14.6;119_Step 6 Timeout, please check the step sequence conditions
DB100,X14.7;120_Step 7 Timeout, please check the step sequence conditions
DB100,X15.0;121_Step 8 Timeout, please check the step sequence conditions
DB100,X15.1;122_Step 9 Timeout, please check the step sequence conditions
DB100,X15.2;123_Step 10 Timeout, please check the step sequence conditions
DB100,X15.3;124_Step 11 Timeout, please check the step sequence conditions
DB100,X15.4;125_Step 12 Timeout, please check the step sequence conditions
DB100,X15.5;126_Step 13 Timeout, please check the step sequence conditions
DB100,X15.6;127_Step 14 Timeout, please check the step sequence conditions
DB100,X15.7;128_Step 15 Timeout, please check the step sequence conditions
DB100,X16.0;129_Step 16 Timeout, please check the step sequence conditions
DB100,X16.1;130_Shifttable Cylinder Feedback Fault
DB100,X16.2;131_Shifttable  Cylinder No Feedback
DB100,X16.3;132_Shifttable Forward Overtime
DB100,X16.4;133_Shifttable  Backward Overtime
DB100,X16.5;134_Shifttable Cylinder Lock1 Feedback Fault
DB100,X16.6;135_Shifttable  Cylinder Lock1 No Feedback
DB100,X16.7;136_Shifttable Forward Lock1 Overtime
DB100,X17.0;137_Shifttable  Backward Lock1 Overtime
DB100,X17.1;138_Shifttable Cylinder Lock2 Feedback Fault
DB100,X17.2;139_Shifttable  Cylinder Lock2 No Feedback
DB100,X17.3;140_Shifttable Forward Lock2 Overtime
DB100,X17.4;141_Shifttable  Backward Lock2 Overtime
DB100,X17.5;142_Cooler Machine is not OFF
DB100,X17.6;143_Spreading time is too long
DB100,X17.7;144_The temperature probe needs to be cleaned
DB100,X18.0;145_Reserve
DB100,X18.1;146_Reserve
DB100,X18.2;147_Reserve
DB100,X18.3;148_Reserve
DB100,X28.0;149_Reserve
DB100,X28.1;150_Reserve
DB100,X28.2;151_Reserve
DB100,X28.3;152_Reserve
DB100,X28.4;153_Reserve
DB100,X28.5;154_Reserve
DB100,X28.6;155_Reserve
DB100,X28.7;156_Reserve
DB100,X29.0;157_Reserve
DB100,X29.1;158_Reserve
DB100,X29.2;159_Reserve
DB100,X29.3;160_Reserve
DB100,X29.4;161_Reserve
DB100,X29.5;162_Reserve
DB100,X29.6;163_Reserve
DB100,X29.7;164_Reserve
DB100,X30.0;165_Reserve
DB100,X30.1;166_Reserve
DB100,X30.2;167_Reserve
DB100,X30.3;168_Reserve
DB100,X30.4;169_Reserve
DB100,X30.5;170_Reserve
DB100,X30.6;171_Reserve
DB100,X30.7;172_Reserve
DB100,X31.0;173_Reserve
DB100,X31.1;174_Reserve
DB100,X31.2;175_Reserve
DB100,X31.3;176_Reserve
DB100,X31.4;177_Reserve
DB100,X31.5;178_Reserve
DB100,X31.6;179_Reserve
DB100,X31.7;180_Reserve
DB100,X160.0;181_No.1 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X160.1;182_No.1 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X160.2;183_No.1 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X160.3;184_No.1 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X160.4;185_No.2 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X160.5;186_No.2 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X160.6;187_No.2 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X160.7;188_No.2 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X161.0;189_No.3 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X161.1;190_No.3 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X161.2;191_No.3 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X161.3;192_No.3 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X161.4;193_No.4 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X161.5;194_No.4 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X161.6;195_No.4 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X161.7;196_No.4Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X162.0;197_No.5 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X162.1;198_No.5 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X162.2;199_No.5 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X162.3;200_No.5 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X162.4;201_No.6 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X162.5;202_No.6 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X162.6;203_No.6 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X162.7;204_No.6 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X163.0;205_No.7 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X163.1;206_No.7 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X163.2;207_No.7 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X163.3;208_No.7 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X163.4;209_No.8 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X163.5;210_No.8 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X163.6;211_No.8 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X163.7;212_No.8 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X164.0;213_No.9 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X164.1;214_No.9 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X164.2;215_No.9 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X164.3;216_No.9 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X164.4;217_No.10 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X164.5;218_No.10 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X164.6;219_No.10 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X164.7;220_No.10 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X165.0;221_No.11 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X165.1;222_No.11 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X165.2;223_No.11 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X165.3;224_No.11 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X165.4;225_No.12 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X165.5;226_No.12 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X165.6;227_No.12 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X165.7;228_No.12 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X166.0;229_No.13 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X166.1;230_No.13 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X166.2;231_No.13 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X166.3;232_No.13 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X166.4;233_No.14 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X166.5;234_No.14 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X166.6;235_No.14 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X166.7;236_No.14 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X167.0;237_No.15 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X167.1;238_No.15 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X167.2;239_No.15 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X167.3;240_No.15 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X167.4;241_No.16 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X167.5;242_No.16 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X167.6;243_No.16 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X167.7;244_No.16 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X168.0;245_No.17 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X168.1;246_No.17 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X168.2;247_No.17 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X168.3;248_No.17 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X168.4;249_No.18 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X168.5;250_No.18 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X168.6;251_No.18 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X168.7;252_No.18 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X169.0;253_No.19 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X169.1;254_No.19 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X169.2;255_No.19 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X169.3;256_No.19 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X169.4;257_No.20 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X169.5;258_No.20 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X169.6;259_No.20 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X169.7;260_No.20 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X170.0;261_No.21 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X170.1;262_No.21 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X170.2;263_No.21 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X170.3;264_No.21 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X170.4;265_No.22 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X170.5;266_No.22 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X170.6;267_No.22 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X170.7;268_No.22 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X171.0;269_No.23 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X171.1;270_No.23 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X171.2;271_No.23 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X171.3;272_No.23 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X171.4;273_No.24 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X171.5;274_No.24 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X171.6;275_No.24 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X171.7;276_No.24 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X172.0;277_No.25 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X172.1;278_No.25 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X172.2;279_No.25 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X172.3;280_No.25 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X172.4;281_No.26 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X172.5;282_No.26 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X172.6;283_No.26 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X172.7;284_No.26 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X173.0;285_No.27 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X173.1;286_No.27 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X173.2;287_No.27 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X173.3;288_No.27 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X173.4;289_No.28 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X173.5;290_No.28 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X173.6;291_No.28 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X173.7;292_No.28 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X174.0;293_No.29 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X174.1;294_No.29 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X174.2;295_No.29 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X174.3;296_No.29 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X174.4;297_No.30 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X174.5;298_No.30 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X174.6;299_No.30 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X174.7;300_No.30 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X175.0;301_No.31 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X175.1;302_No.31 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X175.2;303_No.31 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X175.3;304_No.31 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X175.4;305_No.32 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X175.5;306_No.32 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X175.6;307_No.32 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X175.7;308_No.32 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X176.0;309_No.33 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X176.1;310_No.33 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X176.2;311_No.33 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X176.3;312_No.33 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X176.4;313_No.34 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X176.5;314_No.34 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X176.6;315_No.34 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X176.7;316_No.34 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X177.0;317_No.35 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X177.1;318_No.35 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X177.2;319_No.35 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X177.3;320_No.35 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X177.4;321_No.36 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X177.5;322_No.36 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X177.6;323_No.36 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X177.7;324_No.36 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X178.0;325_No.37 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X178.1;326_No.37 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X178.2;327_No.37 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X178.3;328_No.37 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X178.4;329_No.38 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X178.5;330_No.38 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X178.6;331_No.38 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X178.7;332_No.38 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X179.0;333_No.39 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X179.1;334_No.39 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X179.2;335_No.39 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X179.3;336_No.39 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X179.4;337_No.40 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X179.5;338_No.40 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X179.6;339_No.40 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X179.7;340_No.40 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X180.0;341_No.41 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X180.1;342_No.41 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X180.2;343_No.41 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X180.3;344_No.41 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X180.4;345_No.42 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X180.5;346_No.42 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X180.6;347_No.42 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X180.7;348_No.42 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X181.0;349_No.43 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X181.1;350_No.43 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X181.2;351_No.43 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X181.3;352_No.43 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X181.4;353_No.44 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X181.5;354_No.44 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X181.6;355_No.44 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X181.7;356_No.44 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X182.0;357_No.45 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X182.1;358_No.45 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X182.2;359_No.45 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X182.3;360_No.45 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X182.4;361_No.46 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X182.5;362_No.46 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X182.6;363_No.46 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
DB100,X182.7;364_No.46 Mold cylinders Retreat Overtime (Check related cylinders and related sensors)
DB100,X183.0;365_No.47 Mold cylinders All Sensors Lighted (Check related cylinders and related sensors)
DB100,X183.1;366_No.47 Mold cylinders All Sensors Not Lighted (Check related cylinders and related sensors)
DB100,X183.2;367_No.47 Mold cylinders Extend Overtime (Check related cylinders and related sensors)
